area_m2,bedrooms,distance_km,age_years,price
132.0,4,5.2,35.0,349664
72.0,2,5.8,33.0,208364
168.0,4,3.6,22.0,476914
37.0,2,5.5,29.0,95839
78.0,3,4.2,30.0,238814
127.0,3,5.0,11.0,350689
201.0,5,5.6,5.0,559939
178.0,4,3.5,30.0,501839
183.0,4,1.7,29.0,576439
174.0,3,4.4,3.0,490589
